v1;g++;0.153397
v1;g++;0.166163
v1;g++;0.153713
v1;g++;0.153398
v1;g++;0.153825
v1;g++;0.153245
v1;g++;0.153317
v1;g++;0.154027
v1;g++;0.153527
v1;g++;0.153603
v1;g++;0.153406
v1;g++;0.15355
v1;g++;0.15323
v1;g++;0.153509
v1;g++;0.15345
v1;g++;0.153344
v1;g++;0.153535
v1;g++;0.153495
v1;g++;0.153305
v1;g++;0.153526
v1;g++;0.153059
v1;g++;0.153652
v1;g++;0.153335
v1;g++;0.153779
v1;g++;0.153356
v1;g++;0.153526
v1;g++;0.153223
v1;g++;0.153338
v1;g++;0.153677
v1;g++;0.153241
v1;g++;0.153781
v1;g++;0.153612
v1;g++;0.153088
v1;g++;0.153496
v1;g++;0.15333
v1;g++;0.153489
v1;g++;0.155062
v1;g++;0.153191
v1;g++;0.152749
v1;g++;0.152955
v1;g++;0.153009
v1;g++;0.153081
v1;g++;0.153238
v1;g++;0.152903
v1;g++;0.153118
v1;g++;0.153298
v1;g++;0.153294
v1;g++;0.152905
v1;g++;0.153267
v1;g++;0.152719
v1;g++;0.152941
v1;g++;0.152948
v1;g++;0.153037
v1;g++;0.152931
v1;g++;0.152926
v1;g++;0.153134
v1;g++;0.153212
v1;g++;0.153295
v1;g++;0.152884
v1;g++;0.152833
v1;g++;0.152869
v1;g++;0.153301
v1;g++;0.153213
v1;g++;0.152805
v1;g++;0.153125
v1;g++;0.153382
v1;g++;0.152907
v1;g++;0.153076
v1;g++;0.152669
v1;g++;0.152815
v1;g++;0.152816
v1;g++;0.153319
v1;g++;0.153096
v1;g++;0.153334
v1;g++;0.153233
v1;g++;0.152831
v1;g++;0.153454
v1;g++;0.152897
v1;g++;0.153206
v1;g++;0.153153
v1;g++;0.152794
v1;g++;0.153185
v1;g++;0.153315
v1;g++;0.153433
v1;g++;0.153205
v1;g++;0.153355
v1;g++;0.153466
v1;g++;0.152628
v1;g++;0.152818
v1;g++;0.153282
v1;g++;0.153095
v1;g++;0.153732
